license_id,brand_name,ingredient,drugbank_id,disease_name,disease_id,source,is_new
MAL21036023ACZ,hovid-Levetiracetam Tablets 500 mg,LEVETIRACETAM,DB01202,partial epilepsy,,TxGNN Knowledge Graph,
MAL21036012XC,HAEMO XL SYRUP (IRON (III) HYDROXIDE POLYMALTOSE COMPLEX),IRON,DB01592,folic acid deficiency anemia,,TxGNN Knowledge Graph,
MAL21036012XC,HAEMO XL SYRUP (IRON (III) HYDROXIDE POLYMALTOSE COMPLEX),IRON,DB01592,anemia of prematurity,,TxGNN Knowledge Graph,
MAL21036012XC,HAEMO XL SYRUP (IRON (III) HYDROXIDE POLYMALTOSE COMPLEX),IRON,DB01592,deficiency anemia,,TxGNN Knowledge Graph,
MAL21036012XC,HAEMO XL SYRUP (IRON (III) HYDROXIDE POLYMALTOSE COMPLEX),IRON,DB01592,hypochromic anemia,,TxGNN Knowledge Graph,
MAL21036012XC,HAEMO XL SYRUP (IRON (III) HYDROXIDE POLYMALTOSE COMPLEX),IRON,DB01592,microcytic anemia,,TxGNN Knowledge Graph,
MAL21036012XC,HAEMO XL SYRUP (IRON (III) HYDROXIDE POLYMALTOSE COMPLEX),IRON,DB01592,iron deficiency anemia,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,tinea infection,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,oral candidiasis,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,candidiasis,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,pityriasis versicolor,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,vulvovaginal candidiasis,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,dermatophytosis of groin and perianal area,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,cutaneous candidiasis,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,tinea pedis,,TxGNN Knowledge Graph,
MAL10100180XZ,MYCORIL SPRAY 1%,CLOTRIMAZOLE,DB00257,tinea corporis,,TxGNN Knowledge Graph,
MAL11030009AZ,Clonate  Cream 0.05%w/w,CLOBETASOL PROPIONATE,DB01013,dermatitis,,TxGNN Knowledge Graph,
MAL11030009AZ,Clonate  Cream 0.05%w/w,CLOBETASOL PROPIONATE,DB01013,seborrheic dermatitis,,TxGNN Knowledge Graph,
MAL11030009AZ,Clonate  Cream 0.05%w/w,CLOBETASOL PROPIONATE,DB01013,scalp dermatosis,,TxGNN Knowledge Graph,
MAL11030009AZ,Clonate  Cream 0.05%w/w,CLOBETASOL PROPIONATE,DB01013,atopic eczema,,TxGNN Knowledge Graph,
MAL11030009AZ,Clonate  Cream 0.05%w/w,CLOBETASOL PROPIONATE,DB01013,"dermatitis, atopic",,TxGNN Knowledge Graph,
MAL11030009AZ,Clonate  Cream 0.05%w/w,CLOBETASOL PROPIONATE,DB01013,occupational dermatitis,,TxGNN Knowledge Graph,
MAL11030009AZ,Clonate  Cream 0.05%w/w,CLOBETASOL PROPIONATE,DB01013,seborrheic keratosis,,TxGNN Knowledge Graph,
MAL11030009AZ,Clonate  Cream 0.05%w/w,CLOBETASOL PROPIONATE,DB01013,contact dermatitis,,TxGNN Knowledge Graph,
MAL06030792AZ,Escapelle Tablet 1.5mg,LEVONORGESTREL,DB00367,postmenopausal osteoporosis,,TxGNN Knowledge Graph,
MAL06030792AZ,Escapelle Tablet 1.5mg,LEVONORGESTREL,DB00367,osteoporosis,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,atopic conjunctivitis,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,vernal conjunctivitis,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,vasomotor rhinitis,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,common cold,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,idiopathic urticaria,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,allergic rhinitis,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,pharyngitis,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,nasopharyngitis,,TxGNN Knowledge Graph,
MAL21046021ACZ,ALLOR (LORATADINE ORAL SOLUTION 5MG/5ML USP),LORATADINE,DB00455,papillary conjunctivitis,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,therapy related acute myeloid leukemia and myelodysplastic syndrome,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute lymphoblastic/lymphocytic leukemia,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloblastic leukemia without maturation,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia with t(8;16)(p11;p13) translocation,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,unclassified acute myeloid leukemia,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia with CEBPA somatic mutations,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia with NPM1 somatic mutations,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia with t(9;11)(p22;q23),,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia with t(6;9)(p23;q34),,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute promyelocytic leukemia,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,myeloid leukemia,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute lymphoblastic leukemia (disease),,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2),,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,precursor T-cell acute lymphoblastic leukemia,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,"leukemia, lymphocytic, susceptibility to",,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloblastic leukemia with maturation,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,inherited acute myeloid leukemia,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia with minimal differentiation,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia with t(8;21)(q22;q22) translocation,,TxGNN Knowledge Graph,
MAL19930477AZ,CYTARABINE CS INJ 1000MG IN 10ML,CYTARABINE,DB00987,acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor,,TxGNN Knowledge Graph,
MAL19960983AZ,GLIMICRON 80MG TABLET,GLICLAZIDE,DB01120,diabetes mellitus (disease),,TxGNN Knowledge Graph,
MAL19960983AZ,GLIMICRON 80MG TABLET,GLICLAZIDE,DB01120,type 2 diabetes mellitus,,TxGNN Knowledge Graph,
MAL11045012AZ,FENO-TG 160mg tablet,FENOFIBRATE,DB01039,hypertriglyceridemia (disease),,TxGNN Knowledge Graph,
MAL11045012AZ,FENO-TG 160mg tablet,FENOFIBRATE,DB01039,obsolete familial combined hyperlipidemia,,TxGNN Knowledge Graph,
MAL11045012AZ,FENO-TG 160mg tablet,FENOFIBRATE,DB01039,hyperlipidemia,,TxGNN Knowledge Graph,
MAL11045012AZ,FENO-TG 160mg tablet,FENOFIBRATE,DB01039,"hyperlipidemia, familial combined, LPL related",,TxGNN Knowledge Graph,
MAL11045012AZ,FENO-TG 160mg tablet,FENOFIBRATE,DB01039,hypoalphalipoproteinemia,,TxGNN Knowledge Graph,
MAL11045012AZ,FENO-TG 160mg tablet,FENOFIBRATE,DB01039,familial hyperlipidemia,,TxGNN Knowledge Graph,
MAL19990255XCR,ROCALTROL CAPSULE 0.25MCG,CALCITRIOL,DB00136,hypophosphatemia (disease),,TxGNN Knowledge Graph,
MAL19990255XCR,ROCALTROL CAPSULE 0.25MCG,CALCITRIOL,DB00136,hypercalcemia disease,,TxGNN Knowledge Graph,
MAL19990255XCR,ROCALTROL CAPSULE 0.25MCG,CALCITRIOL,DB00136,phosphorus metabolism disease,,TxGNN Knowledge Graph,
MAL19990255XCR,ROCALTROL CAPSULE 0.25MCG,CALCITRIOL,DB00136,nephrocalcinosis,,TxGNN Knowledge Graph,
